timestamp,seed,gen_time,stage_time,copy_time
2025-05-09 22:06:08,1004,558,54,83
2025-05-09 22:06:09,1004,532,40,82
2025-05-09 22:06:10,1004,429,43,82
2025-05-09 22:06:11,1004,414,43,82
2025-05-09 22:06:12,1004,450,50,82
2025-05-09 22:06:13,1004,484,43,82
2025-05-09 22:06:14,1004,453,43,82
2025-05-09 22:06:15,1004,466,50,84
2025-05-09 22:06:16,1004,513,44,82
2025-05-09 22:06:17,1004,531,45,82
2025-05-09 22:06:18,1004,542,51,82
2025-05-09 22:06:19,1004,553,53,82
2025-05-09 22:06:20,1004,492,53,82
2025-05-09 22:06:21,1004,511,45,82
2025-05-09 22:06:22,1004,466,46,82
2025-05-09 22:06:23,1004,462,46,82
2025-05-09 22:06:24,1004,468,48,82
2025-05-09 22:06:25,1004,488,47,82
2025-05-09 22:06:26,1004,476,48,82
2025-05-09 22:06:27,1004,453,47,82
2025-05-09 22:06:28,1004,470,48,82
2025-05-09 22:06:29,1004,487,49,82
2025-05-09 22:06:30,1004,462,48,83
2025-05-09 22:06:31,1004,454,47,83
2025-05-09 22:06:32,1004,488,47,83
2025-05-09 22:06:34,1004,499,48,82
2025-05-09 22:06:35,1004,468,46,82
2025-05-09 22:06:36,1004,465,46,83
2025-05-09 22:06:37,1004,471,41,82
2025-05-09 22:06:38,1004,462,44,82
2025-05-09 22:06:39,1004,453,46,82
2025-05-09 22:06:40,1004,442,46,82
2025-05-09 22:06:41,1004,453,41,82
2025-05-09 22:06:42,1004,472,42,82
2025-05-09 22:06:43,1004,462,43,82
2025-05-09 22:06:43,1004,427,49,82
2025-05-09 22:06:44,1004,461,44,82
2025-05-09 22:06:45,1004,461,44,82
2025-05-09 22:06:46,1004,428,43,82
2025-05-09 22:06:47,1004,426,42,82
2025-05-09 22:06:48,1004,449,41,82
2025-05-09 22:06:49,1004,450,41,82
2025-05-09 22:06:50,1004,425,41,82
2025-05-09 22:06:51,1004,441,45,82
2025-05-09 22:06:52,1004,449,40,82
2025-05-09 22:06:53,1004,462,42,82
2025-05-09 22:06:54,1004,429,40,82
2025-05-09 22:06:55,1004,424,49,82
2025-05-09 22:06:56,1004,462,45,82
2025-05-09 22:06:57,1004,460,43,82
2025-05-09 22:06:58,1004,433,41,82
2025-05-09 22:06:59,1004,428,44,82
2025-05-09 22:07:00,1004,446,44,82
2025-05-09 22:07:01,1004,459,47,82
2025-05-09 22:07:02,1004,438,42,82
2025-05-09 22:07:03,1004,438,45,82
2025-05-09 22:07:04,1004,439,41,82
2025-05-09 22:07:05,1004,476,45,82
2025-05-09 22:07:06,1004,435,42,82
2025-05-09 22:07:07,1004,442,43,82
2025-05-09 22:07:08,1004,456,41,82
2025-05-09 22:07:09,1004,456,46,82
2025-05-09 22:07:10,1004,452,43,82
2025-05-09 22:07:11,1004,449,46,82
2025-05-09 22:07:12,1004,448,44,82
2025-05-09 22:07:13,1004,465,47,82
2025-05-09 22:07:14,1004,426,44,82
2025-05-09 22:07:15,1004,426,43,82
2025-05-09 22:07:16,1004,446,43,82
2025-05-09 22:07:17,1004,459,43,82
2025-05-09 22:07:18,1004,435,44,82
2025-05-09 22:07:18,1004,442,41,82
2025-05-09 22:07:19,1004,446,43,82
2025-05-09 22:07:21,1004,516,44,82
2025-05-09 22:07:22,1004,460,43,82
2025-05-09 22:07:23,1004,451,56,83
2025-05-09 22:07:24,1004,496,46,82
2025-05-09 22:07:25,1004,501,44,82
2025-05-09 22:07:26,1004,461,46,82
2025-05-09 22:07:27,1004,461,41,82
2025-05-09 22:07:28,1004,470,44,82
2025-05-09 22:07:29,1004,477,43,82
2025-05-09 22:07:30,1004,430,41,82
2025-05-09 22:07:31,1004,432,43,82
2025-05-09 22:07:32,1004,447,42,82
2025-05-09 22:07:33,1004,451,42,82
2025-05-09 22:07:33,1004,426,42,82
2025-05-09 22:07:34,1004,430,47,82
2025-05-09 22:07:35,1004,444,46,82
2025-05-09 22:07:36,1004,453,40,82
2025-05-09 22:07:37,1004,443,43,82
2025-05-09 22:07:38,1004,427,43,82
2025-05-09 22:07:39,1004,442,41,82
2025-05-09 22:07:41,1004,493,45,82
2025-05-09 22:07:42,1004,443,41,82
2025-05-09 22:07:42,1004,432,41,82
2025-05-09 22:07:43,1004,444,41,82
2025-05-09 22:07:45,1004,464,43,82
2025-05-09 22:07:46,1004,432,53,82
