frame_number,frame_time_ms,total_steps,rays_hit,rays_missed,min_steps,max_steps
142,4.3465,302824051,0,3686400,160,583
143,4.2291,299297369,0,3686400,161,574
144,4.5705,295420850,0,3686400,161,574
145,4.0526,293629011,0,3686400,161,579
146,4.1911,294191064,0,3686400,160,578
147,5.9712,296481918,38352,3648048,39,787
148,9.2758,309204910,369482,3316918,28,1700
149,9.7429,307488684,661003,3025397,17,1505
150,9.8350,300732293,909642,2776758,11,1505
151,10.2366,289194154,1133538,2552862,12,1788
152,10.1239,275962782,1340221,2346179,8,1428
153,9.2296,261172311,1525109,2161291,4,1569
154,9.1232,236927266,1705516,1980884,7,1585
155,8.8883,219452551,1891620,1794780,3,1351
156,8.7946,200200704,2078505,1607895,4,1780
157,8.6772,183846113,2266315,1420085,3,1445
158,8.9349,169515197,2468381,1218019,4,1628
159,8.1841,160519913,2678112,1008288,3,1803
160,8.4405,154898065,2910322,776078,2,1531
161,8.6306,147151667,3176655,509745,3,1634
162,8.9723,135146710,3490687,195713,4,1443
163,5.1649,112313815,3682594,3806,3,986
164,3.6902,101131946,3684028,2372,4,632
165,3.5750,99775377,3684577,1823,5,586
166,3.1934,101824793,3686082,318,4,581
167,3.2120,98929327,3686124,276,4,561
168,3.3190,99543037,3686102,298,4,557
169,3.2663,102332029,3686221,179,4,509
170,3.1481,105667629,3686212,188,6,528
171,3.4412,110196716,3686205,195,7,563
172,3.5131,113450241,3686207,193,5,558
173,3.3845,116816151,3686219,181,5,515
174,3.4573,119308328,3685909,491,6,451
175,3.5874,123366819,3685648,752,4,482
176,3.7874,131512405,3685524,876,9,667
177,7.3859,138493806,3563676,122724,5,791
178,4.1452,148013724,3244877,441523,6,753
179,4.2734,157062795,2976470,709930,8,764
180,4.2558,164743889,2737023,949377,7,761
181,6.0571,171394995,2513985,1172415,10,761
182,4.5110,176966335,2308171,1378229,8,737
183,4.2023,181476911,2119338,1567062,8,722
184,4.4418,183620299,1939776,1746624,11,530
185,4.1594,185936461,1757651,1928749,10,536
186,4.1262,189132803,1564536,2121864,8,545
187,4.3384,194128865,1365938,2320462,8,543
188,4.1373,199908032,1161651,2524749,8,530
189,4.2733,206740694,941721,2744679,9,520
190,4.6367,215078526,701472,2984928,11,611
191,4.8344,221655733,430953,3255447,10,542
192,4.9168,238895341,116356,3570044,10,570
193,3.6747,250743914,0,3686400,129,494
194,3.7059,260191618,0,3686400,139,495
195,3.9013,269405088,0,3686400,152,498
196,4.1309,278557614,0,3686400,161,498
197,4.0492,286630715,0,3686400,161,502
198,4.3353,294177053,0,3686400,160,548
199,7.3146,301065959,0,3686400,161,597
200,4.4518,299724941,0,3686400,161,589
201,7.2805,294932308,0,3686400,161,566
202,4.3542,290313707,0,3686400,160,561
203,4.2923,286053360,0,3686400,147,573
204,4.1370,281476318,0,3686400,135,577
205,3.9425,277188117,0,3686400,133,590
206,4.4450,276605301,576,3685824,94,601
207,7.5893,276943529,254758,3431642,9,1344
208,8.0316,276381458,550252,3136148,9,1220
209,9.0207,279900396,808855,2877545,9,1420
210,9.2918,281915937,1038084,2648316,9,1731
211,9.1538,280203167,1250981,2435419,6,1670
212,9.9403,276267934,1448279,2238121,6,1667
213,9.7986,270932234,1639605,2046795,7,1625
214,9.8497,259859191,1832033,1854367,7,1517
215,9.6621,243411741,2022722,1663678,5,1733
216,9.1430,222759467,2214038,1472362,4,1745
217,9.3442,204458818,2405002,1281398,6,1399
218,8.9634,190334455,2603014,1083386,4,1795
219,8.1616,178857857,2835130,851270,5,1679
220,8.1861,170853847,3091090,595310,6,1539
221,8.6504,163189212,3377791,308609,4,1942
222,9.2087,153165912,3685164,1236,4,1834
223,3.9191,144294463,3686154,246,5,537
224,3.6467,134414146,3686246,154,4,551
225,3.4501,122873084,3686233,167,10,430
226,3.4668,115610161,3686225,175,6,459
227,3.3911,109771002,3686254,146,4,497
228,3.2192,102529242,3686226,174,5,505
229,3.1837,91047117,3686173,227,3,561
230,3.0933,93000111,3686175,225,4,604
231,3.0997,95140537,3686211,189,5,518
232,2.9418,96367467,3686234,166,6,476
233,3.1159,97173458,3686200,200,5,526
234,3.2881,98566004,3686171,229,4,527
235,3.2855,100165462,3685843,557,5,383
236,3.5473,96300124,3675901,10499,4,502
237,3.4983,101261651,3363092,323308,3,506
238,3.4296,109031430,3074429,611971,4,515
239,3.5432,118905470,2820857,865543,4,531
240,3.4755,129493893,2597408,1088992,4,524
241,3.5413,138044027,2392795,1293605,5,562
242,3.8459,143560174,2194198,1492202,2,493
243,3.6371,148332219,2000141,1686259,5,501
244,3.6639,152338913,1806600,1879800,4,579
245,3.7611,156136094,1617598,2068802,5,512
246,3.8624,158118202,1428447,2257953,7,476
247,4.0928,161754642,1230080,2456320,7,509
248,4.1565,168418504,1019857,2666543,7,553
249,4.1412,178484100,786617,2899783,9,536
250,4.3757,191915457,527919,3158481,8,511
251,4.7048,207164247,228407,3457993,10,542
252,3.1381,219082039,0,3686400,111,458
253,3.2379,231143055,0,3686400,121,492
254,3.3951,242377544,0,3686400,131,497
255,3.5697,253372018,0,3686400,143,491
256,3.7075,264567472,0,3686400,156,497
257,3.9017,276183685,0,3686400,161,495
258,7.0794,287482296,0,3686400,160,515
259,7.3640,293248040,0,3686400,161,551
260,4.1886,287195742,0,3686400,161,551
261,4.2491,281301246,0,3686400,158,546
262,4.1997,276259293,0,3686400,144,528
263,3.9534,271793157,0,3686400,132,523
264,3.7444,266854809,0,3686400,121,536
265,3.8346,260983295,0,3686400,111,542
266,6.4890,253381641,144694,3541706,9,823
267,6.3465,240239744,459666,3226734,5,907
268,6.1680,230325065,722939,2963461,5,941
269,7.3680,225318303,952385,2734015,5,1721
270,8.2044,222925433,1169197,2517203,5,1171
