frame_number,frame_time_ms,total_steps,rays_hit,rays_missed,min_steps,max_steps
620,2.4388,150295625,0,3686400,52,492
621,2.0916,135898586,0,3686400,47,460
622,2.1134,121597813,0,3686400,42,390
623,2.7094,111858132,114656,3571744,37,338
624,2.6598,101479764,431757,3254643,22,337
625,2.3198,91902909,705579,2980821,9,336
626,2.3436,82800810,946438,2739962,6,328
627,2.3347,76258501,1165823,2520577,5,341
628,2.2985,71561910,1368834,2317566,4,338
629,2.3616,67573823,1563866,2122534,2,332
630,2.0492,63531563,1752388,1934012,3,331
631,2.0349,58129055,1938542,1747858,4,329
632,2.0081,53729102,2123163,1563237,2,302
633,1.9308,49286258,2327396,1359004,2,283
634,2.1806,46500291,2532716,1153684,3,449
635,2.2858,44367311,2755376,931024,2,471
636,2.3082,42086408,3006832,679568,3,483
637,2.4458,41403073,3281382,405018,3,509
638,2.4922,38542119,3590627,95773,3,547
639,2.3461,29871377,3680380,6020,2,566
640,2.1958,25512860,3685133,1267,2,609
641,2.0115,25148687,3673800,12600,2,640
642,2.1412,25228460,3670823,15577,2,665
643,2.0589,21903022,3683065,3335,3,706
644,2.0836,23497150,3675496,10904,3,710
645,2.3091,29939705,3656033,30367,3,701
646,2.3355,30349274,3652078,34322,2,744
647,2.2783,29197692,3655112,31288,3,760
648,1.8216,24499855,3671478,14922,2,755
649,2.1367,24055880,3681816,4584,3,757
650,2.3441,30854271,3666818,19582,3,754
651,2.4704,31950027,3671374,15026,2,750
652,2.5486,39665258,3660390,26010,3,738
653,9.6834,61288213,3473357,213043,2,2001
654,9.3774,87226424,3172948,513452,2,2001
655,9.1295,114243640,2905411,780989,3,2001
656,10.7142,145230581,2657065,1029335,3,2001
657,10.0585,171497512,2430868,1255532,3,2001
658,9.2416,188379497,2235586,1450814,2,2001
659,13.7141,203441117,2041046,1645354,4,2001
660,10.9392,215063350,1857263,1829137,4,2001
661,12.7907,224750269,1670547,2015853,4,2001
662,14.2421,233534841,1477088,2209312,6,1738
663,13.2115,243371415,1267127,2419273,6,2001
664,12.8144,251669966,1051905,2634495,7,2001
665,14.6507,260477535,820977,2865423,10,2001
666,13.3797,267617639,555320,3131080,17,2001
667,4.8635,272901303,249100,3437300,35,790
668,4.0401,271351226,0,3686400,77,798
669,4.0418,260629160,0,3686400,74,760
670,3.6987,250245668,0,3686400,71,726
671,3.6448,241247578,0,3686400,67,691
672,3.8347,233900450,0,3686400,59,653
673,3.6167,228382899,0,3686400,50,629
674,3.4361,224392585,0,3686400,43,609
675,3.6362,221729374,0,3686400,41,629
676,3.3406,209764618,0,3686400,43,597
677,2.9531,193815726,0,3686400,43,572
678,2.6911,176666215,0,3686400,42,571
679,2.4516,159458742,0,3686400,41,571
680,2.2443,143282013,0,3686400,41,529
681,2.0593,127786079,0,3686400,38,484
682,2.0519,112775380,940,3685460,34,443
683,2.3500,101536340,276889,3409511,27,349
684,2.0824,88098934,567783,3118617,16,277
685,2.1377,76871977,820462,2865938,9,275
686,2.0402,68012412,1045886,2640514,7,274
687,2.0216,61252781,1254739,2431661,4,275
688,2.0499,56097986,1452055,2234345,7,275
689,1.8754,51126843,1642284,2044116,4,270
690,1.7470,48370067,1828888,1857512,4,271
691,1.7871,45885310,2017682,1668718,4,270
692,1.7522,43710717,2208670,1477730,4,270
693,1.7420,41897811,2400057,1286343,2,258
694,1.5389,39198159,2612205,1074195,2,191
695,1.8056,39108088,2828368,858032,3,240
696,2.0995,38390935,3078300,608100,3,430
697,2.1318,35656519,3383512,302888,2,463
698,2.0553,32601384,3683124,3276,3,496
699,1.9407,27503831,3678908,7492,3,526
700,2.1677,25895267,3679536,6864,3,563
701,1.9575,26130375,3677464,8936,2,592
702,2.1702,26667676,3672008,14392,2,614
703,2.0921,27276694,3671901,14499,2,654
704,2.0128,25456316,3667606,18794,2,648
705,2.1391,25504078,3670939,15461,2,660
706,1.8916,22064971,3684709,1691,3,722
707,2.1176,22498554,3684995,1405,3,763
708,2.2764,25084572,3682302,4098,2,765
709,2.1890,30162505,3664953,21447,3,745
710,2.2487,32201766,3663558,22842,3,751
711,2.2975,32009269,3682067,4333,2,775
712,12.6629,45443099,3589589,96811,3,2001
713,8.9224,70219450,3267608,418792,3,2001
714,8.8137,98617619,2980259,706141,2,1748
715,9.7022,124335751,2732407,953993,3,1650
716,9.2571,147467822,2519597,1166803,2,2001
717,13.2193,173902356,2315175,1371225,4,1870
718,14.4644,196527534,2135787,1550613,2,1836
719,14.1795,215146806,1944930,1741470,2,1637
720,15.9893,228830374,1758703,1927697,6,1630
721,16.1234,236388996,1571057,2115343,4,1701
722,12.7498,244679478,1362744,2323656,6,2001
723,12.9888,253395387,1152984,2533416,6,1392
724,14.3339,263497893,924653,2761747,6,2001
725,13.6155,274612170,675399,3011001,12,2001
726,13.4888,288189801,389416,3296984,23,2001
727,12.2824,297117666,56882,3629518,87,2001
728,4.4589,288914202,0,3686400,83,812
729,4.2469,275612505,0,3686400,77,814
730,3.9343,260379845,0,3686400,58,825
731,4.0080,246152415,0,3686400,45,783
732,3.7336,233550745,0,3686400,37,735
733,3.6992,223430370,0,3686400,32,688
734,3.7195,215801498,0,3686400,28,646
735,3.5757,212896902,0,3686400,27,633
736,3.4651,205971616,0,3686400,26,623
737,3.0475,193811646,0,3686400,26,593
738,2.8082,177470549,0,3686400,26,578
739,2.5100,158908862,0,3686400,26,584
740,2.3154,140731431,0,3686400,25,574
741,2.0849,123551569,0,3686400,24,550
742,2.2554,110334398,127877,3558523,22,491
743,2.1503,94300383,426336,3260064,13,413
744,2.0154,78281236,689285,2997115,10,287
745,1.7961,66587070,920830,2765570,9,273
746,1.7745,56556066,1133906,2552494,6,299
747,1.6743,48924381,1330697,2355703,5,266
748,1.7303,43061511,1518114,2168286,4,268
749,1.6559,38664817,1704067,1982333,3,278
750,1.5475,35313993,1888702,1797698,3,240
751,1.5679,32965713,2068835,1617565,2,221
752,1.3886,30770438,2257976,1428424,3,221
753,1.3562,28964752,2460253,1226147,4,246
754,1.3556,27762971,2674190,1012210,2,156
755,1.2830,27517667,2907666,778734,2,151
756,1.4221,28246030,3144544,541856,2,181
757,1.7208,27743696,3436005,250395,3,405
758,1.7540,27357492,3682133,4267,3,400
759,1.8150,25569646,3676345,10055,3,473
760,2.1067,28624804,3662461,23939,3,519
761,2.1300,28437902,3664783,21617,2,554
762,2.0653,22808389,3674115,12285,2,591
763,2.1953,22397814,3675539,10861,3,605
764,2.0763,21389717,3684481,1919,3,620
765,1.9596,23693045,3680528,5872,3,642
766,2.2237,27778654,3669114,17286,2,678
767,2.2906,27691181,3653149,33251,3,669
768,2.1430,23941056,3669671,16729,2,728
769,1.9828,24017259,3684945,1455,2,756
770,2.2976,26188046,3675847,10553,3,792
771,2.5416,32868654,3572443,113957,3,833
772,7.7591,53714517,3282108,404292,3,2001
773,9.1334,74547526,3014455,671945,3,2001
774,8.6956,96200712,2775578,910822,3,1973
775,9.1129,121204044,2554642,1131758,3,1990
776,9.3649,144257220,2355421,1330979,2,2001
777,13.3948,163411661,2169770,1516630,2,2001
778,13.5436,180466358,1986293,1700107,3,1830
779,16.2183,197540424,1809381,1877019,2,1546
780,15.5536,212162506,1628613,2057787,4,1867
781,15.8216,220977645,1446229,2240171,4,1654
782,15.9168,232554543,1254697,2431703,6,1806
783,15.0501,248912946,1038627,2647773,8,1772
784,15.2069,263690432,803934,2882466,12,1763
785,14.8538,279415941,531168,3155232,13,1687
786,14.5220,295362237,224009,3462391,46,1877
787,7.2088,296112800,0,3686400,67,847
788,5.7061,283786869,0,3686400,41,845
789,4.3423,266867915,0,3686400,24,845
790,4.0695,249059633,0,3686400,17,847
791,3.9913,230759927,0,3686400,13,840
792,3.4871,212891297,0,3686400,10,833
793,3.4133,198133447,0,3686400,9,766
794,3.3308,194363896,0,3686400,7,718
795,3.6736,201639363,0,3686400,7,721
796,3.4040,200343475,0,3686400,7,706
797,3.3074,192059315,0,3686400,6,684
798,3.0117,179385968,0,3686400,6,653
799,2.6293,162950639,0,3686400,5,631
800,2.3331,143700324,0,3686400,5,589
801,2.6087,124490157,12688,3673712,5,588
802,2.4263,106198587,229708,3456692,4,591
803,1.9847,86421387,413860,3272540,4,509
804,1.7230,64811104,569108,3117292,2,362
805,1.5937,51203527,698137,2988263,2,302
806,1.4482,41784940,799624,2886776,2,298
807,1.4481,34611738,882023,2804377,2,320
808,1.3029,28791783,942686,2743714,2,316
809,1.1798,23461457,982012,2704388,1,292
810,1.1872,18991082,995005,2691395,1,225
811,1.0882,14322783,964106,2722294,1,226
812,0.8236,10809261,903066,2783334,1,172
